ID,X,Y
Total,1480,
1,563.0000,338.0000
2,581.0000,624.0000
3,540.0000,587.0000
4,560.0000,362.0000
5,588.0000,316.0000
6,420.0000,470.0000
7,643.0000,443.0000
8,618.0000,333.0000
9,449.0000,577.0000
10,646.0000,355.0000
11,751.0000,537.0000
12,457.0000,613.0000
13,471.0000,406.0000
14,499.0000,690.0000
15,503.0000,443.0000
16,468.0000,463.0000
17,578.0000,329.0000
18,522.0000,467.0000
19,730.0000,574.0000
20,570.0000,306.0000
21,622.0000,431.0000
22,473.0000,606.0000
23,494.0000,291.0000
24,435.0000,641.0000
25,478.0000,461.0000
26,428.0000,541.0000
27,688.0000,538.0000
28,449.0000,404.0000
29,542.0000,309.0000
30,568.0000,638.0000
31,685.0000,398.0000
32,705.0000,377.0000
33,557.0000,560.0000
34,645.0000,363.0000
35,693.0000,367.0000
36,509.0000,357.0000
37,598.0000,640.0000
38,419.0000,704.0000
39,586.0000,743.0000
40,445.0000,614.0000
41,417.0000,714.0000
42,502.0000,595.0000
43,461.0000,453.0000
44,441.0000,687.0000
45,462.0000,604.0000
46,651.0000,381.0000
47,410.0000,472.0000
48,668.0000,705.0000
49,466.0000,687.0000
50,532.0000,396.0000
51,386.0000,387.0000
52,477.0000,294.0000
53,599.0000,338.0000
54,607.0000,384.0000
55,487.0000,666.0000
56,412.0000,414.0000
57,492.0000,631.0000
58,532.0000,459.0000
59,611.0000,486.0000
60,735.0000,582.0000
61,512.0000,610.0000
62,536.0000,619.0000
63,403.0000,466.0000
64,683.0000,472.0000
65,683.0000,644.0000
66,492.0000,711.0000
67,681.0000,403.0000
68,673.0000,454.0000
69,462.0000,748.0000
70,542.0000,305.0000
71,395.0000,355.0000
72,395.0000,628.0000
73,382.0000,564.0000
74,615.0000,659.0000
75,533.0000,679.0000
76,438.0000,332.0000
77,644.0000,601.0000
78,583.0000,571.0000
79,498.0000,517.0000
80,590.0000,739.0000
81,510.0000,336.0000
82,630.0000,464.0000
83,444.0000,681.0000
84,464.0000,332.0000
85,437.0000,392.0000
86,615.0000,415.0000
87,527.0000,327.0000
88,709.0000,421.0000
89,502.0000,391.0000
90,434.0000,686.0000
91,550.0000,678.0000
92,525.0000,376.0000
93,471.0000,401.0000
94,447.0000,391.0000
95,695.0000,394.0000
96,717.0000,445.0000
97,572.0000,725.0000
98,737.0000,482.0000
99,740.0000,555.0000
100,486.0000,364.0000
101,451.0000,348.0000
102,476.0000,386.0000
103,562.0000,729.0000
104,596.0000,469.0000
105,491.0000,431.0000
106,519.0000,662.0000
107,638.0000,501.0000
108,515.0000,447.0000
109,494.0000,329.0000
110,574.0000,736.0000
111,537.0000,623.0000
112,696.0000,611.0000
113,567.0000,437.0000
114,572.0000,297.0000
115,495.0000,619.0000
116,465.0000,555.0000
117,506.0000,713.0000
118,635.0000,618.0000
119,570.0000,455.0000
120,668.0000,558.0000
121,603.0000,601.0000
122,517.0000,362.0000
123,637.0000,381.0000
124,390.0000,565.0000
125,521.0000,572.0000
126,390.0000,503.0000
127,665.0000,638.0000
128,519.0000,579.0000
