dataset_id,sample_id,src_idx,dst_idx,src_cell_id,dst_cell_id,ligand,receptor,pathway,mechanism,distance_px,coexpr,causal_score,strength,score
simulation_data,sample1,440,826,441,827,LIG01,REC01,Synthetic,Secreted Signaling,17.11724281311035,2.7790868282318115,0.4734700918197632,0.5496543645858765,1.0
simulation_data,sample1,91,614,92,615,LIG02,REC02,Synthetic,Secreted Signaling,44.384681701660156,2.728693962097168,0.9985288381576538,0.533711314201355,0.9887954592704773
simulation_data,sample1,581,614,582,615,LIG02,REC02,Synthetic,Secreted Signaling,53.46026611328125,2.4334957599639893,0.9985288381576538,0.533464252948761,0.9886217713356018
simulation_data,sample1,108,614,109,615,LIG02,REC02,Synthetic,Secreted Signaling,59.41380310058594,2.4334957599639893,0.9985288381576538,0.5334232449531555,0.9885929822921753
simulation_data,sample1,408,614,409,615,LIG02,REC02,Synthetic,Secreted Signaling,54.147945404052734,2.3134512901306152,0.9985288381576538,0.5334017276763916,0.9885777831077576
simulation_data,sample1,440,1041,441,1042,LIG01,REC01,Synthetic,Secreted Signaling,20.615528106689453,2.7790868282318115,0.530794620513916,0.5319750308990479,0.987575113773346
simulation_data,sample1,91,614,92,615,LIG07,REC07,Synthetic,Secreted Signaling,44.384681701660156,2.4334957599639893,0.9962202906608582,0.5272706747055054,0.9842690825462341
simulation_data,sample1,108,614,109,615,LIG07,REC07,Synthetic,Secreted Signaling,59.41380310058594,1.8626288175582886,0.9962202906608582,0.5267274975776672,0.9838873147964478
simulation_data,sample1,581,614,582,615,LIG07,REC07,Synthetic,Secreted Signaling,53.46026611328125,2.0432589054107666,0.9962202906608582,0.5267194509506226,0.9838817119598389
simulation_data,sample1,408,614,409,615,LIG07,REC07,Synthetic,Secreted Signaling,54.147945404052734,2.3162684440612793,0.9962202906608582,0.526706874370575,0.9838728308677673
simulation_data,sample1,582,1409,583,1410,LIG06,REC06,Synthetic,Secreted Signaling,55.803226470947266,2.454418420791626,0.4491887390613556,0.5104999542236328,0.9724828004837036
simulation_data,sample1,530,1047,531,1048,LIG06,REC06,Synthetic,Secreted Signaling,39.051246643066406,2.415548324584961,0.65476393699646,0.5021078586578369,0.9665849208831787
simulation_data,sample1,96,1047,97,1048,LIG06,REC06,Synthetic,Secreted Signaling,42.7551155090332,2.5972461700439453,0.65476393699646,0.5020681619644165,0.9665571451187134
simulation_data,sample1,595,1047,596,1048,LIG06,REC06,Synthetic,Secreted Signaling,49.01020431518555,2.5141360759735107,0.65476393699646,0.5020620226860046,0.9665527939796448
simulation_data,sample1,38,1047,39,1048,LIG06,REC06,Synthetic,Secreted Signaling,51.865211486816406,2.5141360759735107,0.65476393699646,0.502056896686554,0.9665491580963135
simulation_data,sample1,116,1047,117,1048,LIG06,REC06,Synthetic,Secreted Signaling,47.85394287109375,2.5972461700439453,0.65476393699646,0.5020544528961182,0.966547429561615
simulation_data,sample1,283,1047,284,1048,LIG06,REC06,Synthetic,Secreted Signaling,52.63079071044922,2.5972461700439453,0.65476393699646,0.5020458698272705,0.9665413498878479
simulation_data,sample1,499,1047,500,1048,LIG06,REC06,Synthetic,Secreted Signaling,55.44366455078125,2.6732590198516846,0.65476393699646,0.5020319223403931,0.9665316343307495
simulation_data,sample1,235,1047,236,1048,LIG06,REC06,Synthetic,Secreted Signaling,55.4707145690918,2.8071062564849854,0.65476393699646,0.5020170211791992,0.9665210843086243
simulation_data,sample1,236,1345,237,1346,LIG06,REC06,Synthetic,Secreted Signaling,39.81205749511719,2.0217442512512207,0.5367119312286377,0.5006673336029053,0.9655725359916687
simulation_data,sample1,191,1345,192,1346,LIG06,REC06,Synthetic,Secreted Signaling,35.7770881652832,2.308321714401245,0.5367119312286377,0.5006662011146545,0.9655718207359314
simulation_data,sample1,267,1345,268,1346,LIG06,REC06,Synthetic,Secreted Signaling,46.615447998046875,2.454418420791626,0.5367119312286377,0.5005519986152649,0.965491533279419
simulation_data,sample1,212,1345,213,1346,LIG06,REC06,Synthetic,Secreted Signaling,57.42821502685547,2.126652240753174,0.5367119312286377,0.5005216002464294,0.9654701948165894
simulation_data,sample1,544,1345,545,1346,LIG06,REC06,Synthetic,Secreted Signaling,57.697486877441406,2.126652240753174,0.5367119312286377,0.5005201101303101,0.9654691815376282
simulation_data,sample1,251,1345,252,1346,LIG06,REC06,Synthetic,Secreted Signaling,57.87054443359375,2.577308416366577,0.5367119312286377,0.5004600286483765,0.9654269218444824
simulation_data,sample1,236,1146,237,1147,LIG06,REC06,Synthetic,Secreted Signaling,59.53990173339844,1.7707451581954956,0.5173441767692566,0.500336229801178,0.9653398990631104
simulation_data,sample1,191,1146,192,1147,LIG06,REC06,Synthetic,Secreted Signaling,55.44366455078125,2.0217442512512207,0.5173441767692566,0.5003198385238647,0.9653284549713135
simulation_data,sample1,530,1077,531,1078,LIG06,REC06,Synthetic,Secreted Signaling,56.93856430053711,1.9424647092819214,0.612303614616394,0.4998885989189148,0.9650253057479858
