ID,X,Y
Total,1480,
1,449.0000,344.0000
2,474.0000,399.0000
3,487.0000,412.0000
4,620.0000,658.0000
5,493.0000,669.0000
6,491.0000,477.0000
7,561.0000,341.0000
8,535.0000,694.0000
9,451.0000,502.0000
10,502.0000,489.0000
11,437.0000,543.0000
12,500.0000,360.0000
13,520.0000,412.0000
14,578.0000,522.0000
15,545.0000,669.0000
16,563.0000,460.0000
17,473.0000,448.0000
18,490.0000,658.0000
19,633.0000,596.0000
20,583.0000,443.0000
21,593.0000,602.0000
22,411.0000,430.0000
23,524.0000,479.0000
24,652.0000,519.0000
25,618.0000,372.0000
26,569.0000,390.0000
27,490.0000,577.0000
28,493.0000,356.0000
29,525.0000,484.0000
30,594.0000,345.0000
31,529.0000,599.0000
32,342.0000,567.0000
33,412.0000,421.0000
34,566.0000,401.0000
35,536.0000,512.0000
36,577.0000,538.0000
37,382.0000,468.0000
38,463.0000,707.0000
39,541.0000,377.0000
40,505.0000,398.0000
41,537.0000,639.0000
42,517.0000,376.0000
43,438.0000,551.0000
44,460.0000,547.0000
45,393.0000,552.0000
46,565.0000,686.0000
47,557.0000,378.0000
48,440.0000,458.0000
49,575.0000,578.0000
50,484.0000,401.0000
51,422.0000,494.0000
52,500.0000,602.0000
53,526.0000,454.0000
54,662.0000,569.0000
55,570.0000,544.0000
56,493.0000,641.0000
57,340.0000,581.0000
58,515.0000,346.0000
59,544.0000,492.0000
60,466.0000,342.0000
61,509.0000,324.0000
62,479.0000,566.0000
63,487.0000,635.0000
64,595.0000,354.0000
65,518.0000,593.0000
66,335.0000,518.0000
67,515.0000,522.0000
68,451.0000,473.0000
69,538.0000,418.0000
70,578.0000,687.0000
71,551.0000,649.0000
72,383.0000,634.0000
73,544.0000,473.0000
74,602.0000,604.0000
75,529.0000,526.0000
76,445.0000,348.0000
77,509.0000,583.0000
78,591.0000,693.0000
79,608.0000,514.0000
80,342.0000,575.0000
81,377.0000,538.0000
82,364.0000,628.0000
83,506.0000,380.0000
84,362.0000,420.0000
85,336.0000,560.0000
86,607.0000,609.0000
87,556.0000,398.0000
88,460.0000,503.0000
89,451.0000,528.0000
90,633.0000,437.0000
91,601.0000,570.0000
92,471.0000,644.0000
93,534.0000,658.0000
94,373.0000,476.0000
95,483.0000,410.0000
96,574.0000,426.0000
97,386.0000,538.0000
98,529.0000,625.0000
99,446.0000,503.0000
100,512.0000,683.0000
101,338.0000,541.0000
102,582.0000,658.0000
103,524.0000,472.0000
104,628.0000,490.0000
105,474.0000,528.0000
106,550.0000,413.0000
107,545.0000,628.0000
108,448.0000,413.0000
109,491.0000,502.0000
110,388.0000,423.0000
111,509.0000,558.0000
112,651.0000,584.0000
113,568.0000,347.0000
114,622.0000,407.0000
115,606.0000,583.0000
116,477.0000,332.0000
117,603.0000,505.0000
118,465.0000,608.0000
119,332.0000,478.0000
120,572.0000,504.0000
121,496.0000,427.0000
122,606.0000,557.0000
123,428.0000,505.0000
124,606.0000,394.0000
125,518.0000,714.0000
126,422.0000,513.0000
127,490.0000,676.0000
128,474.0000,420.0000
129,620.0000,679.0000
130,565.0000,615.0000
131,398.0000,571.0000
132,408.0000,636.0000
133,427.0000,526.0000
134,411.0000,648.0000
135,556.0000,492.0000
136,590.0000,628.0000
137,650.0000,447.0000
138,344.0000,547.0000
139,417.0000,649.0000
140,385.0000,620.0000
141,459.0000,704.0000
142,641.0000,619.0000
143,524.0000,656.0000
144,512.0000,425.0000
145,485.0000,676.0000
146,573.0000,396.0000
147,639.0000,651.0000
148,361.0000,426.0000
149,519.0000,602.0000
150,567.0000,496.0000
151,616.0000,601.0000
152,421.0000,407.0000
153,330.0000,533.0000
154,654.0000,443.0000
155,569.0000,574.0000
156,590.0000,563.0000
157,462.0000,562.0000
158,469.0000,672.0000
159,635.0000,664.0000
160,433.0000,439.0000
161,423.0000,544.0000
162,564.0000,502.0000
163,491.0000,532.0000
164,443.0000,432.0000
165,502.0000,709.0000
166,574.0000,451.0000
167,544.0000,397.0000
168,390.0000,458.0000
169,582.0000,527.0000
170,382.0000,429.0000
171,486.0000,618.0000
172,498.0000,660.0000
173,544.0000,414.0000
174,469.0000,612.0000
175,388.0000,600.0000
176,447.0000,666.0000
177,512.0000,699.0000
178,591.0000,455.0000
179,491.0000,663.0000
180,624.0000,554.0000
181,546.0000,536.0000
182,407.0000,485.0000
183,557.0000,574.0000
184,358.0000,448.0000
185,651.0000,564.0000
186,572.0000,513.0000
187,660.0000,654.0000
188,545.0000,370.0000
189,373.0000,483.0000
190,568.0000,628.0000
191,377.0000,421.0000
192,650.0000,490.0000
193,494.0000,444.0000
194,640.0000,527.0000
195,552.0000,536.0000
196,468.0000,492.0000
197,562.0000,610.0000
198,482.0000,475.0000
199,493.0000,561.0000
200,521.0000,498.0000
201,595.0000,500.0000
202,499.0000,409.0000
203,428.0000,534.0000
204,585.0000,374.0000
205,622.0000,361.0000
206,342.0000,605.0000
207,442.0000,440.0000
208,365.0000,485.0000
209,356.0000,541.0000
210,409.0000,591.0000
211,537.0000,593.0000
212,654.0000,653.0000
213,628.0000,667.0000
214,487.0000,700.0000
215,490.0000,461.0000
216,434.0000,469.0000
217,546.0000,660.0000
218,657.0000,610.0000
219,403.0000,411.0000
220,574.0000,494.0000
221,537.0000,445.0000
222,520.0000,353.0000
223,439.0000,652.0000
224,606.0000,573.0000
225,611.0000,511.0000
226,632.0000,674.0000
227,451.0000,513.0000
228,568.0000,368.0000
229,484.0000,431.0000
230,441.0000,661.0000
231,473.0000,342.0000
232,477.0000,443.0000
233,432.0000,594.0000
234,413.0000,533.0000
235,455.0000,441.0000
236,470.0000,702.0000
237,361.0000,639.0000
238,576.0000,383.0000
239,409.0000,632.0000
240,448.0000,536.0000
241,568.0000,470.0000
242,525.0000,590.0000
243,398.0000,671.0000
244,601.0000,345.0000
245,376.0000,435.0000
246,603.0000,455.0000
247,535.0000,365.0000
248,328.0000,571.0000
249,595.0000,625.0000
250,363.0000,515.0000
251,365.0000,634.0000
252,565.0000,327.0000
253,458.0000,687.0000
254,610.0000,343.0000
255,429.0000,483.0000
256,508.0000,525.0000
257,457.0000,560.0000
258,362.0000,414.0000
259,511.0000,439.0000
260,414.0000,433.0000
261,455.0000,449.0000
262,607.0000,669.0000
263,514.0000,490.0000
264,535.0000,401.0000
265,627.0000,408.0000
266,422.0000,565.0000
267,392.0000,537.0000
268,452.0000,347.0000
269,646.0000,551.0000
270,587.0000,548.0000
271,626.0000,500.0000
272,624.0000,412.0000
273,432.0000,404.0000
274,531.0000,541.0000
275,550.0000,500.0000
276,526.0000,651.0000
277,432.0000,367.0000
278,626.0000,372.0000
279,467.0000,511.0000
280,455.0000,355.0000
281,407.0000,548.0000
282,597.0000,437.0000
283,580.0000,673.0000
284,560.0000,601.0000
285,524.0000,416.0000
286,434.0000,458.0000
287,464.0000,472.0000
288,585.0000,692.0000
289,625.0000,464.0000
290,500.0000,475.0000
291,599.0000,515.0000
292,415.0000,543.0000
293,387.0000,559.0000
294,395.0000,601.0000
295,496.0000,611.0000
296,521.0000,435.0000
297,443.0000,702.0000
298,654.0000,502.0000
299,428.0000,362.0000
300,546.0000,512.0000
301,456.0000,456.0000
302,551.0000,507.0000
303,528.0000,358.0000
304,515.0000,420.0000
305,561.0000,464.0000
306,584.0000,487.0000
307,327.0000,556.0000
308,623.0000,402.0000
309,584.0000,332.0000
310,403.0000,527.0000
311,462.0000,580.0000
312,616.0000,642.0000
313,633.0000,613.0000
314,495.0000,623.0000
315,387.0000,455.0000
316,646.0000,423.0000
317,655.0000,375.0000
318,376.0000,406.0000
319,444.0000,376.0000
320,369.0000,412.0000
321,452.0000,416.0000
322,455.0000,511.0000
323,428.0000,576.0000
324,403.0000,484.0000
325,492.0000,645.0000
326,600.0000,668.0000
327,622.0000,654.0000
328,536.0000,343.0000
329,478.0000,500.0000
330,640.0000,640.0000
331,402.0000,457.0000
332,612.0000,372.0000
333,499.0000,498.0000
334,529.0000,421.0000
335,419.0000,589.0000
336,626.0000,454.0000
337,543.0000,339.0000
338,421.0000,651.0000
339,506.0000,597.0000
340,509.0000,355.0000
341,448.0000,612.0000
342,645.0000,367.0000
343,517.0000,476.0000
344,379.0000,402.0000
345,427.0000,405.0000
346,434.0000,605.0000
347,410.0000,584.0000
348,450.0000,377.0000
349,444.0000,649.0000
350,498.0000,467.0000
351,479.0000,579.0000
352,553.0000,403.0000
353,472.0000,521.0000
354,645.0000,631.0000
355,653.0000,413.0000
356,629.0000,531.0000
357,490.0000,540.0000
358,462.0000,553.0000
359,484.0000,697.0000
360,658.0000,510.0000
361,618.0000,689.0000
362,442.0000,527.0000
363,496.0000,326.0000
364,585.0000,630.0000
365,656.0000,401.0000
366,577.0000,391.0000
367,546.0000,504.0000
368,654.0000,569.0000
369,501.0000,343.0000
370,528.0000,608.0000
371,354.0000,550.0000
372,490.0000,386.0000
373,400.0000,621.0000
374,601.0000,528.0000
375,422.0000,600.0000
376,565.0000,436.0000
377,501.0000,549.0000
378,493.0000,453.0000
379,355.0000,493.0000
380,476.0000,360.0000
381,574.0000,596.0000
