cell_id,role,is_fp,niche_id,global_id
1,sender,0,2,1200
2,sender,0,2,1201
3,sender,0,2,1202
4,sender,0,2,1203
5,sender,1,2,1204
6,sender,1,2,1205
7,sender,0,2,1206
8,sender,0,2,1207
9,sender,0,2,1208
10,sender,0,2,1209
11,sender,1,2,1210
12,sender,0,2,1211
13,sender,1,2,1212
14,sender,1,2,1213
15,sender,0,2,1214
16,sender,0,2,1215
17,sender,1,2,1216
18,sender,1,2,1217
19,sender,0,2,1218
20,sender,0,2,1219
21,sender,1,2,1220
22,sender,1,2,1221
23,sender,1,2,1222
24,sender,1,2,1223
25,sender,0,2,1224
26,sender,0,2,1225
27,sender,0,2,1226
28,sender,0,2,1227
29,sender,0,2,1228
30,sender,0,2,1229
31,sender,0,2,1230
32,sender,1,2,1231
33,sender,0,2,1232
34,sender,0,2,1233
35,sender,1,2,1234
36,sender,0,2,1235
37,sender,1,2,1236
38,sender,1,2,1237
39,sender,1,2,1238
40,sender,0,2,1239
41,sender,1,2,1240
42,sender,0,2,1241
43,sender,1,2,1242
44,sender,1,2,1243
45,sender,0,2,1244
46,sender,0,2,1245
47,sender,0,2,1246
48,sender,0,2,1247
49,sender,0,2,1248
50,sender,0,2,1249
51,sender,1,2,1250
52,sender,0,2,1251
53,sender,1,2,1252
54,sender,1,2,1253
55,sender,0,2,1254
56,sender,0,2,1255
57,sender,1,2,1256
58,sender,0,2,1257
59,sender,0,2,1258
60,sender,1,2,1259
61,sender,1,2,1260
62,sender,0,2,1261
63,sender,0,2,1262
64,sender,0,2,1263
65,sender,0,2,1264
66,sender,0,2,1265
67,sender,0,2,1266
68,sender,0,2,1267
69,sender,0,2,1268
70,sender,1,2,1269
71,sender,1,2,1270
72,sender,1,2,1271
73,sender,0,2,1272
74,sender,0,2,1273
75,sender,1,2,1274
76,sender,1,2,1275
77,sender,0,2,1276
78,sender,1,2,1277
79,sender,0,2,1278
80,sender,0,2,1279
81,sender,0,2,1280
82,sender,1,2,1281
83,sender,0,2,1282
84,sender,0,2,1283
85,sender,0,2,1284
86,sender,1,2,1285
87,sender,0,2,1286
88,sender,0,2,1287
89,sender,1,2,1288
90,sender,0,2,1289
91,sender,0,2,1290
92,sender,0,2,1291
93,sender,0,2,1292
94,sender,1,2,1293
95,sender,1,2,1294
96,sender,1,2,1295
97,sender,0,2,1296
98,sender,0,2,1297
99,sender,1,2,1298
100,sender,0,2,1299
101,sender,1,2,1300
102,sender,1,2,1301
103,sender,0,2,1302
104,sender,1,2,1303
105,sender,1,2,1304
106,sender,0,2,1305
107,sender,0,2,1306
108,sender,1,2,1307
109,sender,0,2,1308
110,sender,0,2,1309
111,sender,0,2,1310
112,sender,0,2,1311
113,sender,1,2,1312
114,sender,1,2,1313
115,sender,0,2,1314
116,sender,0,2,1315
117,sender,1,2,1316
118,sender,1,2,1317
119,sender,1,2,1318
120,sender,0,2,1319
121,sender,0,2,1320
122,sender,0,2,1321
123,sender,0,2,1322
124,sender,0,2,1323
125,sender,1,2,1324
126,sender,1,2,1325
127,sender,1,2,1326
128,sender,1,2,1327
129,sender,0,2,1328
130,sender,0,2,1329
131,sender,1,2,1330
132,sender,0,2,1331
133,sender,1,2,1332
134,sender,1,2,1333
135,sender,0,2,1334
136,sender,0,2,1335
137,sender,0,2,1336
138,sender,0,2,1337
139,sender,1,2,1338
140,sender,1,2,1339
141,sender,0,2,1340
142,sender,1,2,1341
143,sender,0,2,1342
144,sender,1,2,1343
145,sender,0,2,1344
146,sender,1,2,1345
147,sender,1,2,1346
148,sender,1,2,1347
149,sender,0,2,1348
150,sender,1,2,1349
151,sender,0,2,1350
152,sender,1,2,1351
153,sender,0,2,1352
154,sender,1,2,1353
155,sender,1,2,1354
156,sender,0,2,1355
157,sender,1,2,1356
158,sender,1,2,1357
159,sender,1,2,1358
160,sender,0,2,1359
161,sender,1,2,1360
162,sender,1,2,1361
163,sender,0,2,1362
164,sender,0,2,1363
165,sender,1,2,1364
166,sender,1,2,1365
167,sender,1,2,1366
168,sender,1,2,1367
169,sender,1,2,1368
170,sender,0,2,1369
171,sender,1,2,1370
172,sender,1,2,1371
173,sender,0,2,1372
174,sender,0,2,1373
175,sender,0,2,1374
176,sender,0,2,1375
177,sender,0,2,1376
178,sender,0,2,1377
179,sender,0,2,1378
180,sender,0,2,1379
181,sender,0,2,1380
182,sender,0,2,1381
183,sender,0,2,1382
184,sender,1,2,1383
185,sender,1,2,1384
186,sender,0,2,1385
187,sender,0,2,1386
188,sender,0,2,1387
189,sender,1,2,1388
190,sender,0,2,1389
191,sender,1,2,1390
192,sender,0,2,1391
193,sender,0,2,1392
194,sender,1,2,1393
195,sender,0,2,1394
196,sender,1,2,1395
197,sender,0,2,1396
198,sender,1,2,1397
199,sender,1,2,1398
200,sender,0,2,1399
201,sender,1,2,1400
202,sender,0,2,1401
203,sender,0,2,1402
204,sender,0,2,1403
205,sender,1,2,1404
206,sender,1,2,1405
207,sender,1,2,1406
208,sender,0,2,1407
209,sender,1,2,1408
210,sender,1,2,1409
211,sender,0,2,1410
212,sender,1,2,1411
213,sender,1,2,1412
214,sender,1,2,1413
215,sender,0,2,1414
216,sender,1,2,1415
217,sender,1,2,1416
218,sender,1,2,1417
219,sender,0,2,1418
220,sender,0,2,1419
221,sender,0,2,1420
222,sender,0,2,1421
223,sender,0,2,1422
224,sender,0,2,1423
225,sender,0,2,1424
226,sender,0,2,1425
227,sender,0,2,1426
228,sender,1,2,1427
229,sender,1,2,1428
230,sender,0,2,1429
231,sender,0,2,1430
232,sender,0,2,1431
233,sender,1,2,1432
234,sender,1,2,1433
235,sender,1,2,1434
236,sender,0,2,1435
237,sender,1,2,1436
238,sender,1,2,1437
239,sender,0,2,1438
240,sender,0,2,1439
241,sender,0,2,1440
242,sender,1,2,1441
243,sender,0,2,1442
244,sender,1,2,1443
245,sender,0,2,1444
246,sender,1,2,1445
247,sender,0,2,1446
248,sender,1,2,1447
249,sender,0,2,1448
250,sender,1,2,1449
251,sender,1,2,1450
252,sender,0,2,1451
253,sender,1,2,1452
254,sender,0,2,1453
255,sender,0,2,1454
256,sender,1,2,1455
257,sender,1,2,1456
258,sender,1,2,1457
259,sender,1,2,1458
260,sender,1,2,1459
261,sender,1,2,1460
262,sender,1,2,1461
263,sender,1,2,1462
264,sender,1,2,1463
265,sender,0,2,1464
266,sender,0,2,1465
267,sender,1,2,1466
268,sender,1,2,1467
269,sender,0,2,1468
270,sender,0,2,1469
271,sender,1,2,1470
272,sender,1,2,1471
273,sender,0,2,1472
274,sender,1,2,1473
275,sender,0,2,1474
276,sender,1,2,1475
277,sender,1,2,1476
278,sender,0,2,1477
279,sender,1,2,1478
280,sender,0,2,1479
281,sender,1,2,1480
282,sender,1,2,1481
283,sender,1,2,1482
284,sender,1,2,1483
285,sender,1,2,1484
286,sender,1,2,1485
287,sender,1,2,1486
288,sender,1,2,1487
289,sender,0,2,1488
290,sender,0,2,1489
291,sender,0,2,1490
292,sender,1,2,1491
293,sender,0,2,1492
294,sender,0,2,1493
295,sender,1,2,1494
296,sender,0,2,1495
297,sender,1,2,1496
298,sender,0,2,1497
299,sender,1,2,1498
300,sender,1,2,1499
301,sender,1,2,1500
302,sender,0,2,1501
303,sender,0,2,1502
304,sender,0,2,1503
305,sender,0,2,1504
306,sender,0,2,1505
307,sender,1,2,1506
308,sender,0,2,1507
309,sender,0,2,1508
310,sender,0,2,1509
311,sender,1,2,1510
312,sender,1,2,1511
313,sender,1,2,1512
314,sender,1,2,1513
315,sender,1,2,1514
316,sender,1,2,1515
317,sender,0,2,1516
318,sender,0,2,1517
319,sender,0,2,1518
320,sender,1,2,1519
321,sender,1,2,1520
322,sender,0,2,1521
323,sender,1,2,1522
324,sender,0,2,1523
325,sender,0,2,1524
326,sender,1,2,1525
327,sender,0,2,1526
328,sender,0,2,1527
329,sender,1,2,1528
330,sender,0,2,1529
331,sender,1,2,1530
332,sender,1,2,1531
333,sender,0,2,1532
334,sender,0,2,1533
335,sender,0,2,1534
336,sender,0,2,1535
337,sender,1,2,1536
338,sender,0,2,1537
339,sender,0,2,1538
340,sender,0,2,1539
341,sender,1,2,1540
