cell_id,role,is_fp,niche_id,global_id
1,sender,0,4,2400
2,sender,0,4,2401
3,sender,0,4,2402
4,sender,0,4,2403
5,sender,0,4,2404
6,sender,0,4,2405
7,sender,0,4,2406
8,sender,0,4,2407
9,sender,0,4,2408
10,sender,0,4,2409
11,sender,0,4,2410
12,sender,0,4,2411
13,sender,0,4,2412
14,sender,0,4,2413
15,sender,0,4,2414
16,sender,0,4,2415
17,sender,0,4,2416
18,sender,0,4,2417
19,sender,0,4,2418
20,sender,0,4,2419
21,sender,0,4,2420
22,sender,0,4,2421
23,sender,0,4,2422
24,sender,0,4,2423
25,sender,0,4,2424
26,sender,0,4,2425
27,sender,0,4,2426
28,sender,0,4,2427
29,sender,0,4,2428
30,sender,0,4,2429
31,sender,0,4,2430
32,sender,0,4,2431
33,sender,0,4,2432
34,sender,0,4,2433
35,sender,0,4,2434
36,sender,0,4,2435
37,sender,0,4,2436
38,sender,0,4,2437
39,sender,0,4,2438
40,sender,0,4,2439
41,sender,0,4,2440
42,sender,0,4,2441
43,sender,0,4,2442
44,sender,0,4,2443
45,sender,0,4,2444
46,sender,0,4,2445
47,sender,0,4,2446
48,sender,0,4,2447
49,sender,0,4,2448
50,sender,0,4,2449
51,sender,0,4,2450
52,sender,0,4,2451
53,sender,0,4,2452
54,sender,0,4,2453
55,sender,0,4,2454
56,sender,0,4,2455
57,sender,0,4,2456
58,sender,0,4,2457
59,sender,0,4,2458
60,sender,0,4,2459
61,sender,0,4,2460
62,sender,0,4,2461
63,sender,0,4,2462
64,sender,0,4,2463
65,sender,0,4,2464
66,sender,0,4,2465
67,sender,0,4,2466
68,sender,0,4,2467
69,sender,0,4,2468
70,sender,0,4,2469
71,sender,0,4,2470
72,sender,0,4,2471
73,sender,0,4,2472
74,sender,0,4,2473
75,sender,0,4,2474
76,sender,0,4,2475
77,sender,0,4,2476
78,sender,0,4,2477
79,sender,0,4,2478
80,sender,0,4,2479
81,sender,0,4,2480
82,sender,0,4,2481
83,sender,0,4,2482
84,sender,0,4,2483
85,sender,0,4,2484
86,sender,0,4,2485
87,sender,0,4,2486
88,sender,0,4,2487
89,sender,0,4,2488
90,sender,0,4,2489
91,sender,0,4,2490
92,sender,0,4,2491
93,sender,0,4,2492
94,sender,0,4,2493
95,sender,0,4,2494
96,sender,0,4,2495
97,sender,0,4,2496
98,sender,0,4,2497
99,sender,0,4,2498
100,sender,0,4,2499
101,sender,0,4,2500
102,sender,0,4,2501
103,sender,0,4,2502
104,sender,0,4,2503
105,sender,0,4,2504
106,sender,0,4,2505
107,sender,0,4,2506
108,sender,0,4,2507
109,sender,0,4,2508
110,sender,0,4,2509
111,sender,0,4,2510
112,sender,0,4,2511
113,sender,0,4,2512
114,sender,0,4,2513
115,sender,0,4,2514
116,sender,0,4,2515
117,sender,0,4,2516
118,sender,0,4,2517
119,sender,0,4,2518
120,sender,0,4,2519
121,sender,0,4,2520
122,sender,0,4,2521
123,sender,0,4,2522
124,sender,0,4,2523
125,sender,0,4,2524
126,sender,0,4,2525
127,sender,0,4,2526
128,sender,0,4,2527
129,sender,0,4,2528
130,sender,0,4,2529
131,sender,0,4,2530
132,sender,0,4,2531
133,sender,0,4,2532
134,sender,0,4,2533
135,sender,0,4,2534
136,sender,0,4,2535
137,sender,0,4,2536
138,sender,0,4,2537
139,sender,0,4,2538
140,sender,0,4,2539
141,sender,0,4,2540
142,sender,0,4,2541
143,sender,0,4,2542
144,sender,0,4,2543
145,sender,0,4,2544
146,sender,0,4,2545
147,sender,0,4,2546
148,sender,0,4,2547
149,sender,0,4,2548
150,sender,0,4,2549
151,sender,0,4,2550
152,sender,0,4,2551
153,sender,0,4,2552
154,sender,0,4,2553
155,sender,0,4,2554
156,sender,0,4,2555
157,sender,0,4,2556
158,sender,0,4,2557
159,sender,0,4,2558
160,sender,0,4,2559
161,sender,0,4,2560
162,sender,0,4,2561
163,sender,0,4,2562
164,sender,0,4,2563
165,sender,0,4,2564
166,sender,0,4,2565
167,sender,0,4,2566
168,sender,0,4,2567
169,sender,0,4,2568
170,sender,0,4,2569
171,sender,0,4,2570
172,sender,0,4,2571
173,sender,0,4,2572
174,sender,0,4,2573
175,sender,0,4,2574
176,sender,0,4,2575
177,sender,0,4,2576
178,sender,0,4,2577
179,sender,0,4,2578
180,sender,0,4,2579
181,sender,0,4,2580
182,sender,0,4,2581
183,sender,0,4,2582
184,sender,0,4,2583
185,sender,0,4,2584
186,sender,0,4,2585
187,sender,0,4,2586
188,sender,0,4,2587
189,sender,0,4,2588
190,sender,0,4,2589
191,sender,0,4,2590
192,sender,0,4,2591
193,sender,0,4,2592
194,sender,0,4,2593
195,sender,0,4,2594
196,sender,0,4,2595
197,sender,0,4,2596
198,sender,0,4,2597
199,sender,0,4,2598
200,sender,0,4,2599
201,sender,0,4,2600
202,sender,0,4,2601
203,sender,0,4,2602
204,sender,0,4,2603
205,sender,0,4,2604
206,sender,0,4,2605
207,sender,0,4,2606
208,sender,0,4,2607
209,sender,0,4,2608
210,sender,0,4,2609
211,sender,0,4,2610
212,sender,0,4,2611
213,sender,0,4,2612
214,sender,0,4,2613
215,sender,0,4,2614
216,sender,0,4,2615
217,sender,0,4,2616
218,sender,0,4,2617
219,sender,0,4,2618
220,sender,0,4,2619
221,sender,0,4,2620
222,sender,0,4,2621
223,sender,0,4,2622
224,sender,0,4,2623
225,sender,0,4,2624
226,sender,0,4,2625
227,sender,0,4,2626
228,sender,0,4,2627
229,sender,0,4,2628
230,sender,0,4,2629
231,sender,0,4,2630
232,sender,0,4,2631
233,sender,0,4,2632
234,sender,0,4,2633
235,sender,0,4,2634
236,sender,0,4,2635
237,sender,0,4,2636
238,sender,0,4,2637
239,sender,0,4,2638
240,sender,0,4,2639
241,sender,0,4,2640
242,sender,0,4,2641
243,sender,0,4,2642
244,sender,0,4,2643
245,sender,0,4,2644
246,sender,0,4,2645
247,sender,0,4,2646
248,sender,0,4,2647
249,sender,0,4,2648
250,sender,0,4,2649
251,sender,0,4,2650
252,sender,0,4,2651
253,sender,0,4,2652
254,sender,0,4,2653
255,sender,0,4,2654
256,sender,0,4,2655
257,sender,0,4,2656
258,sender,0,4,2657
259,sender,0,4,2658
260,sender,0,4,2659
261,sender,0,4,2660
262,sender,0,4,2661
263,sender,0,4,2662
264,sender,0,4,2663
265,sender,0,4,2664
266,sender,0,4,2665
267,sender,0,4,2666
268,sender,0,4,2667
269,sender,0,4,2668
270,sender,0,4,2669
271,sender,0,4,2670
272,sender,0,4,2671
273,sender,0,4,2672
