ID,X,Y
Total,1480,
1,390.0000,628.0000
2,391.0000,555.0000
3,541.0000,562.0000
4,404.0000,415.0000
5,489.0000,608.0000
6,682.0000,638.0000
7,637.0000,606.0000
8,617.0000,382.0000
9,600.0000,596.0000
10,686.0000,578.0000
11,686.0000,640.0000
12,546.0000,554.0000
13,544.0000,437.0000
14,383.0000,656.0000
15,646.0000,479.0000
16,548.0000,396.0000
17,616.0000,445.0000
18,690.0000,410.0000
19,450.0000,515.0000
20,529.0000,582.0000
21,550.0000,458.0000
22,457.0000,459.0000
23,688.0000,440.0000
24,317.0000,502.0000
25,467.0000,382.0000
26,532.0000,701.0000
27,407.0000,514.0000
28,735.0000,549.0000
29,700.0000,481.0000
30,657.0000,628.0000
31,443.0000,321.0000
32,632.0000,472.0000
33,316.0000,535.0000
34,707.0000,624.0000
35,394.0000,434.0000
36,398.0000,622.0000
37,518.0000,615.0000
38,528.0000,366.0000
39,476.0000,540.0000
40,380.0000,388.0000
41,430.0000,475.0000
42,668.0000,615.0000
43,527.0000,555.0000
44,534.0000,629.0000
45,700.0000,642.0000
46,572.0000,511.0000
47,591.0000,598.0000
48,563.0000,441.0000
49,628.0000,500.0000
50,651.0000,363.0000
51,502.0000,553.0000
52,404.0000,685.0000
53,585.0000,372.0000
54,696.0000,579.0000
55,696.0000,604.0000
56,726.0000,539.0000
57,503.0000,571.0000
58,342.0000,495.0000
59,449.0000,558.0000
60,610.0000,622.0000
61,479.0000,324.0000
62,471.0000,342.0000
63,736.0000,479.0000
64,591.0000,358.0000
65,614.0000,600.0000
66,599.0000,697.0000
67,441.0000,485.0000
68,625.0000,591.0000
69,351.0000,388.0000
70,656.0000,683.0000
71,331.0000,570.0000
72,682.0000,445.0000
73,383.0000,447.0000
74,492.0000,353.0000
75,559.0000,569.0000
76,419.0000,677.0000
77,710.0000,557.0000
78,528.0000,733.0000
79,405.0000,649.0000
80,370.0000,616.0000
81,459.0000,338.0000
82,420.0000,691.0000
83,421.0000,424.0000
84,467.0000,332.0000
85,438.0000,712.0000
86,461.0000,666.0000
87,441.0000,552.0000
88,380.0000,409.0000
89,628.0000,643.0000
90,611.0000,585.0000
91,448.0000,464.0000
92,350.0000,464.0000
93,634.0000,578.0000
94,688.0000,392.0000
95,399.0000,682.0000
96,406.0000,698.0000
97,532.0000,611.0000
98,445.0000,542.0000
99,586.0000,426.0000
100,466.0000,424.0000
101,464.0000,494.0000
102,481.0000,520.0000
103,544.0000,385.0000
104,432.0000,348.0000
105,325.0000,439.0000
106,438.0000,324.0000
107,379.0000,539.0000
108,419.0000,454.0000
109,411.0000,389.0000
110,460.0000,608.0000
111,374.0000,593.0000
112,318.0000,524.0000
113,591.0000,505.0000
114,551.0000,337.0000
115,686.0000,559.0000
116,373.0000,390.0000
117,618.0000,342.0000
118,511.0000,403.0000
119,696.0000,435.0000
120,408.0000,509.0000
121,362.0000,563.0000
122,518.0000,391.0000
123,379.0000,377.0000
124,574.0000,462.0000
125,607.0000,510.0000
126,692.0000,444.0000
127,531.0000,577.0000
128,559.0000,421.0000
129,335.0000,528.0000
130,656.0000,593.0000
131,644.0000,701.0000
132,602.0000,500.0000
133,383.0000,521.0000
134,457.0000,324.0000
135,495.0000,691.0000
136,482.0000,423.0000
137,358.0000,555.0000
138,690.0000,384.0000
139,530.0000,629.0000
140,496.0000,555.0000
141,509.0000,320.0000
142,624.0000,497.0000
143,451.0000,626.0000
144,528.0000,724.0000
145,440.0000,332.0000
146,613.0000,607.0000
147,648.0000,414.0000
148,725.0000,570.0000
149,411.0000,399.0000
150,679.0000,401.0000
151,381.0000,395.0000
152,351.0000,600.0000
153,640.0000,644.0000
154,678.0000,636.0000
155,445.0000,579.0000
156,679.0000,626.0000
157,620.0000,667.0000
158,319.0000,611.0000
159,555.0000,525.0000
160,565.0000,571.0000
161,338.0000,639.0000
162,429.0000,625.0000
163,597.0000,554.0000
