ID,X,Y
Total,1480,
1,503.0000,416.0000
2,523.0000,371.0000
3,501.0000,546.0000
4,664.0000,412.0000
5,506.0000,424.0000
6,448.0000,559.0000
7,552.0000,561.0000
8,538.0000,573.0000
9,623.0000,526.0000
10,624.0000,612.0000
11,647.0000,540.0000
12,366.0000,435.0000
13,392.0000,450.0000
14,395.0000,533.0000
15,552.0000,469.0000
16,639.0000,465.0000
17,651.0000,542.0000
18,483.0000,627.0000
19,643.0000,550.0000
20,578.0000,479.0000
21,383.0000,616.0000
22,503.0000,341.0000
23,634.0000,411.0000
24,360.0000,528.0000
25,421.0000,494.0000
26,663.0000,438.0000
27,596.0000,375.0000
28,508.0000,692.0000
29,466.0000,475.0000
30,668.0000,462.0000
31,607.0000,491.0000
32,631.0000,540.0000
33,499.0000,385.0000
34,620.0000,608.0000
35,397.0000,537.0000
36,497.0000,359.0000
37,661.0000,507.0000
38,595.0000,544.0000
39,473.0000,351.0000
40,419.0000,440.0000
41,438.0000,363.0000
42,523.0000,389.0000
43,647.0000,449.0000
44,532.0000,611.0000
45,600.0000,431.0000
46,484.0000,494.0000
47,545.0000,639.0000
48,440.0000,679.0000
49,446.0000,615.0000
50,449.0000,524.0000
51,386.0000,515.0000
52,435.0000,481.0000
53,504.0000,432.0000
54,543.0000,371.0000
55,613.0000,605.0000
56,541.0000,401.0000
57,509.0000,612.0000
58,636.0000,591.0000
59,673.0000,558.0000
60,593.0000,507.0000
61,423.0000,533.0000
62,521.0000,433.0000
63,553.0000,382.0000
64,343.0000,523.0000
65,384.0000,595.0000
66,514.0000,434.0000
67,583.0000,351.0000
68,371.0000,551.0000
69,641.0000,532.0000
70,441.0000,459.0000
71,547.0000,583.0000
72,603.0000,571.0000
73,657.0000,557.0000
74,581.0000,687.0000
75,639.0000,474.0000
76,447.0000,383.0000
77,469.0000,347.0000
78,686.0000,546.0000
79,589.0000,653.0000
80,571.0000,561.0000
81,699.0000,533.0000
82,605.0000,613.0000
83,505.0000,641.0000
84,487.0000,358.0000
85,404.0000,470.0000
86,587.0000,557.0000
87,353.0000,560.0000
88,417.0000,567.0000
89,608.0000,576.0000
90,653.0000,425.0000
91,525.0000,563.0000
92,405.0000,639.0000
93,640.0000,598.0000
94,588.0000,589.0000
95,622.0000,402.0000
96,457.0000,624.0000
97,602.0000,635.0000
98,686.0000,496.0000
99,415.0000,400.0000
100,447.0000,457.0000
101,609.0000,503.0000
102,519.0000,541.0000
103,609.0000,598.0000
104,432.0000,607.0000
105,540.0000,522.0000
106,540.0000,590.0000
107,409.0000,568.0000
108,660.0000,411.0000
109,476.0000,584.0000
110,414.0000,557.0000
111,558.0000,564.0000
112,507.0000,411.0000
113,569.0000,596.0000
114,663.0000,530.0000
115,419.0000,463.0000
116,560.0000,579.0000
117,590.0000,493.0000
118,481.0000,610.0000
119,535.0000,455.0000
120,491.0000,533.0000
121,434.0000,457.0000
122,440.0000,522.0000
123,435.0000,610.0000
124,443.0000,548.0000
125,550.0000,632.0000
126,681.0000,567.0000
127,421.0000,414.0000
128,500.0000,694.0000
129,547.0000,438.0000
130,560.0000,678.0000
131,617.0000,641.0000
132,485.0000,351.0000
133,504.0000,549.0000
134,539.0000,629.0000
135,557.0000,624.0000
136,355.0000,467.0000
137,552.0000,642.0000
138,374.0000,519.0000
139,514.0000,563.0000
